k,seqTime,ompTime,cudaTime
2,0.0002,0.0382,0.1019
3,0.0006,0.0444,0.0859
4,0.0015,0.0402,0.0842
5,0.0017,0.0524,0.0843
6,0.003,0.0479,0.0848
7,0.0035,0.0467,0.0855
8,0.0068,0.0504,0.0894
9,0.0045,0.0495,0.0846
10,0.0063,0.0532,0.0864
11,0.0074,0.0502,0.0856
12,0.0076,0.0501,0.0863
13,0.0125,0.0527,0.088
14,0.0075,0.0572,0.0892
15,0.0108,0.0563,0.087
16,0.0159,0.0554,0.0883
17,0.0175,0.0543,0.0912
18,0.012,0.0549,0.0874
19,0.0143,0.046,0.0874
20,0.0119,0.0475,0.0858
21,0.0142,0.0408,0.0896
22,0.0165,0.0437,0.0881
23,0.0174,0.0434,0.0909
24,0.0148,0.0476,0.0868
25,0.0172,0.0436,0.0873
26,0.0146,0.0485,0.086
27,0.0229,0.0523,0.088
28,0.0199,0.0492,0.0874
29,0.0188,0.052,0.0875
30,0.0184,0.0485,0.0862
31,0.022,0.0522,0.0872
32,0.024,0.0507,0.0876
33,0.0266,0.0549,0.0894
34,0.0264,0.0504,0.0888
35,0.0304,0.0556,0.0942
36,0.027,0.0535,0.0873
37,0.0199,0.0559,0.0863
38,0.0313,0.0563,0.0891
39,0.0225,0.0588,0.0858
40,0.0421,0.0737,0.0906
41,0.0359,0.0601,0.0897
42,0.0347,0.0622,0.0888
43,0.0291,0.0607,0.0909
44,0.0271,0.0612,0.0883
45,0.0267,0.0624,0.0862
46,0.0343,0.065,0.0882
47,0.0293,0.0649,0.089
48,0.0271,0.0693,0.0898
49,0.0268,0.0669,0.0865
50,0.0381,0.0687,0.0946
51,0.0364,0.0688,0.0873
52,0.0314,0.071,0.0879
53,0.0278,0.0708,0.0868
54,0.0428,0.0724,0.0886
55,0.0282,0.0736,0.0857
56,0.0339,0.0748,0.0869
57,0.0274,0.076,0.0886
58,0.0359,0.0774,0.0879
59,0.0436,0.0768,0.0887
60,0.0382,0.0807,0.0936
61,0.0317,0.0838,0.087
62,0.027,0.0826,0.086
63,0.0301,0.087,0.0876
64,0.0273,0.0886,0.0851
65,0.0377,0.0917,0.0897
66,0.031,0.1211,0.0887
67,0.0293,0.0862,0.0858
68,0.0268,0.0876,0.0862
69,0.0258,0.0891,0.0856
70,0.0356,0.0904,0.0866
71,0.0345,0.0918,0.0861
72,0.0305,0.0943,0.0867
73,0.0266,0.0942,0.0853
74,0.0284,0.0943,0.0846
75,0.028,0.0967,0.0855
76,0.0283,0.0973,0.0874
77,0.0302,0.0983,0.0859
78,0.0275,0.0992,0.0853
79,0.0278,0.1011,0.0841
80,0.0378,0.1016,0.0868
81,0.0441,0.1029,0.0871
82,0.0438,0.1038,0.0869
83,0.0427,0.1047,0.0867
84,0.0451,0.1069,0.0877
85,0.0438,0.1073,0.0874
86,0.05,0.1093,0.0905
87,0.0511,0.1109,0.0872
88,0.046,0.1111,0.092
89,0.0467,0.1123,0.087
90,0.0428,0.1136,0.0869
91,0.032,0.1159,0.0884
92,0.0322,0.1179,0.0854
93,0.0363,0.1194,0.0855
94,0.0357,0.1187,0.0861
95,0.0525,0.1198,0.0873
96,0.052,0.1206,0.0873
97,0.0477,0.122,0.0866
98,0.048,0.124,0.0869
99,0.0397,0.1261,0.0861
100,0.042,0.1263,0.0882
101,0.0444,0.1272,0.0873
102,0.0451,0.1283,0.0871
103,0.0401,0.1299,0.0858
104,0.0401,0.1304,0.0884
105,0.0419,0.1328,0.0868
106,0.0401,0.1319,0.0862
107,0.0416,0.134,0.0855
108,0.0409,0.1345,0.09
109,0.0457,0.1362,0.0858
110,0.0459,0.16,0.0873
111,0.0492,0.1603,0.0875
112,0.049,0.1396,0.0863
113,0.0448,0.1403,0.0859
114,0.0543,0.1418,0.0875
115,0.0469,0.1429,0.0931
116,0.0439,0.1437,0.0864
117,0.0465,0.1448,0.0864
118,0.0577,0.1467,0.0918
119,0.045,0.1471,0.0865
120,0.0487,0.1499,0.0866
121,0.0492,0.1495,0.0902
122,0.0535,0.1509,0.0865
123,0.0454,0.1521,0.0856
124,0.0466,0.2012,0.0863
125,0.0772,0.1544,0.0922
126,0.0447,0.1559,0.0892
127,0.0528,0.1558,0.0901
128,0.0532,0.1569,0.0865
